city,capital_city,state,group,cpi_group,annual_change,annual_cpi,period,source_table,group_full
Sydney,Sydney,NSW,All groups CPI,All groups CPI,4.4,4.4,2026-03-01 00:00:00,ABS CPI Table 11,All groups CPI
Melbourne,Melbourne,VIC,All groups CPI,All groups CPI,4.6,4.6,2026-03-01 00:00:00,ABS CPI Table 11,All groups CPI
Brisbane,Brisbane,QLD,All groups CPI,All groups CPI,4.7,4.7,2026-03-01 00:00:00,ABS CPI Table 11,All groups CPI
Adelaide,Adelaide,SA,All groups CPI,All groups CPI,4.9,4.9,2026-03-01 00:00:00,ABS CPI Table 11,All groups CPI
Perth,Perth,WA,All groups CPI,All groups CPI,4.6,4.6,2026-03-01 00:00:00,ABS CPI Table 11,All groups CPI
Hobart,Hobart,TAS,All groups CPI,All groups CPI,5.1,5.1,2026-03-01 00:00:00,ABS CPI Table 11,All groups CPI
Darwin,Darwin,NT,All groups CPI,All groups CPI,4.2,4.2,2026-03-01 00:00:00,ABS CPI Table 11,All groups CPI
Canberra,Canberra,ACT,All groups CPI,All groups CPI,4.2,4.2,2026-03-01 00:00:00,ABS CPI Table 11,All groups CPI
Sydney,Sydney,NSW,Food and non-alcoholic beverages,Food and non-alcoholic beverages,3.4,3.4,2026-03-01 00:00:00,ABS CPI Table 11,Food and non-alcoholic beverages
Melbourne,Melbourne,VIC,Food and non-alcoholic beverages,Food and non-alcoholic beverages,3.2,3.2,2026-03-01 00:00:00,ABS CPI Table 11,Food and non-alcoholic beverages
Brisbane,Brisbane,QLD,Food and non-alcoholic beverages,Food and non-alcoholic beverages,2.6,2.6,2026-03-01 00:00:00,ABS CPI Table 11,Food and non-alcoholic beverages
Adelaide,Adelaide,SA,Food and non-alcoholic beverages,Food and non-alcoholic beverages,2.6,2.6,2026-03-01 00:00:00,ABS CPI Table 11,Food and non-alcoholic beverages
Perth,Perth,WA,Food and non-alcoholic beverages,Food and non-alcoholic beverages,2.9,2.9,2026-03-01 00:00:00,ABS CPI Table 11,Food and non-alcoholic beverages
