group,group_full,annual_change,monthly_change,category_type,group_order,rank_by_pressure,dot,x,y,global_y,dot_value_pp
Transport,Transport,8.9,9.16,essential/regulated,8,1,1,0,0,0,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,2,1,0,0,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,3,2,0,0,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,4,3,0,0,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,5,4,0,0,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,6,5,0,0,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,7,6,0,0,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,8,7,0,0,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,9,8,0,0,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,10,9,0,0,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,11,10,0,0,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,12,11,0,0,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,13,12,0,0,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,14,13,0,0,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,15,14,0,0,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,16,15,0,0,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,17,16,0,0,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,18,17,0,0,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,19,0,1,1,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,20,1,1,1,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,21,2,1,1,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,22,3,1,1,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,23,4,1,1,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,24,5,1,1,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,25,6,1,1,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,26,7,1,1,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,27,8,1,1,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,28,9,1,1,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,29,10,1,1,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,30,11,1,1,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,31,12,1,1,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,32,13,1,1,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,33,14,1,1,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,34,15,1,1,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,35,16,1,1,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,36,17,1,1,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,37,0,2,2,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,38,1,2,2,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,39,2,2,2,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,40,3,2,2,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,41,4,2,2,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,42,5,2,2,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,43,6,2,2,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,44,7,2,2,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,45,8,2,2,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,46,9,2,2,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,47,10,2,2,0.1
Transport,Transport,8.9,9.16,essential/regulated,8,1,48,11,2,2,0.1
