city,capital_city,state,group,cpi_group,annual_change,annual_cpi,period,source_table,group_full,group_order,national_annual_change,city_minus_national
Sydney,Sydney,NSW,All groups CPI,All groups CPI,4.4,4.4,2026-03-01 00:00:00,ABS CPI Table 11,All groups CPI,1,4.57,-0.16999999999999993
Melbourne,Melbourne,VIC,All groups CPI,All groups CPI,4.6,4.6,2026-03-01 00:00:00,ABS CPI Table 11,All groups CPI,1,4.57,0.02999999999999936
Brisbane,Brisbane,QLD,All groups CPI,All groups CPI,4.7,4.7,2026-03-01 00:00:00,ABS CPI Table 11,All groups CPI,1,4.57,0.1299999999999999
Adelaide,Adelaide,SA,All groups CPI,All groups CPI,4.9,4.9,2026-03-01 00:00:00,ABS CPI Table 11,All groups CPI,1,4.57,0.33000000000000007
Perth,Perth,WA,All groups CPI,All groups CPI,4.6,4.6,2026-03-01 00:00:00,ABS CPI Table 11,All groups CPI,1,4.57,0.02999999999999936
Hobart,Hobart,TAS,All groups CPI,All groups CPI,5.1,5.1,2026-03-01 00:00:00,ABS CPI Table 11,All groups CPI,1,4.57,0.5299999999999994
Darwin,Darwin,NT,All groups CPI,All groups CPI,4.2,4.2,2026-03-01 00:00:00,ABS CPI Table 11,All groups CPI,1,4.57,-0.3700000000000001
Canberra,Canberra,ACT,All groups CPI,All groups CPI,4.2,4.2,2026-03-01 00:00:00,ABS CPI Table 11,All groups CPI,1,4.57,-0.3700000000000001
Sydney,Sydney,NSW,Food and non-alcoholic beverages,Food and non-alcoholic beverages,3.4,3.4,2026-03-01 00:00:00,ABS CPI Table 11,Food and non-alcoholic beverages,2,3.1,0.2999999999999998
Melbourne,Melbourne,VIC,Food and non-alcoholic beverages,Food and non-alcoholic beverages,3.2,3.2,2026-03-01 00:00:00,ABS CPI Table 11,Food and non-alcoholic beverages,2,3.1,0.10000000000000009
Brisbane,Brisbane,QLD,Food and non-alcoholic beverages,Food and non-alcoholic beverages,2.6,2.6,2026-03-01 00:00:00,ABS CPI Table 11,Food and non-alcoholic beverages,2,3.1,-0.5
Adelaide,Adelaide,SA,Food and non-alcoholic beverages,Food and non-alcoholic beverages,2.6,2.6,2026-03-01 00:00:00,ABS CPI Table 11,Food and non-alcoholic beverages,2,3.1,-0.5
Perth,Perth,WA,Food and non-alcoholic beverages,Food and non-alcoholic beverages,2.9,2.9,2026-03-01 00:00:00,ABS CPI Table 11,Food and non-alcoholic beverages,2,3.1,-0.20000000000000018
