period,date,group,group_full,contribution_pct_points,group_order,series_id
2025-04-01,2025-04-01,Food & non-alcoholic beverages,Food and non-alcoholic beverages,0.5533,2,A130395483W
2025-04-01,2025-04-01,Alcohol & tobacco,Alcohol and tobacco,0.3796,3,A130393033A
2025-04-01,2025-04-01,Clothing & footwear,Clothing and footwear,0.0284,4,A130391675T
2025-04-01,2025-04-01,Housing,Housing,0.4629,5,A130399190R
2025-04-01,2025-04-01,Furnishings & services,"Furnishings, household equipment and services",0.1474,6,A130399204T
2025-04-01,2025-04-01,Health,Health,0.2944,7,A130389995L
2025-04-01,2025-04-01,Transport,Transport,-0.3771,8,A130396694R
2025-04-01,2025-04-01,Communication,Communication,0.0146,9,A130391297V
2025-04-01,2025-04-01,Communication,Communication,0.0146,9,A130390485K
2025-04-01,2025-04-01,Recreation & culture,Recreation and culture,0.4188,10,A130393838K
2025-04-01,2025-04-01,Education,Education,0.2517,11,A130390030R
2025-04-01,2025-04-01,Education,Education,0.2517,11,A130393579C
2025-04-01,2025-04-01,Insurance & financial services,Insurance and financial services,0.1985,12,A130392767V
2025-05-01,2025-05-01,Food & non-alcoholic beverages,Food and non-alcoholic beverages,0.4978,2,A130395483W
2025-05-01,2025-05-01,Alcohol & tobacco,Alcohol and tobacco,0.3942,3,A130393033A
2025-05-01,2025-05-01,Clothing & footwear,Clothing and footwear,0.0669,4,A130391675T
2025-05-01,2025-05-01,Housing,Housing,0.4091,5,A130399190R
2025-05-01,2025-05-01,Furnishings & services,"Furnishings, household equipment and services",0.1191,6,A130399204T
2025-05-01,2025-05-01,Health,Health,0.2734,7,A130389995L
2025-05-01,2025-05-01,Transport,Transport,-0.2695,8,A130396694R
2025-05-01,2025-05-01,Communication,Communication,0.0203,9,A130391297V
2025-05-01,2025-05-01,Communication,Communication,0.0203,9,A130390485K
2025-05-01,2025-05-01,Recreation & culture,Recreation and culture,0.1597,10,A130393838K
2025-05-01,2025-05-01,Education,Education,0.2517,11,A130390030R
2025-05-01,2025-05-01,Education,Education,0.2517,11,A130393579C
2025-05-01,2025-05-01,Insurance & financial services,Insurance and financial services,0.1807,12,A130392767V
2025-06-01,2025-06-01,Food & non-alcoholic beverages,Food and non-alcoholic beverages,0.5967,2,A130395483W
2025-06-01,2025-06-01,Alcohol & tobacco,Alcohol and tobacco,0.3786,3,A130393033A
2025-06-01,2025-06-01,Clothing & footwear,Clothing and footwear,0.0917,4,A130391675T
2025-06-01,2025-06-01,Housing,Housing,0.3346,5,A130399190R
2025-06-01,2025-06-01,Furnishings & services,"Furnishings, household equipment and services",0.1404,6,A130399204T
2025-06-01,2025-06-01,Health,Health,0.2683,7,A130389995L
2025-06-01,2025-06-01,Transport,Transport,-0.2424,8,A130396694R
2025-06-01,2025-06-01,Communication,Communication,0.0157,9,A130391297V
2025-06-01,2025-06-01,Communication,Communication,0.0157,9,A130390485K
2025-06-01,2025-06-01,Recreation & culture,Recreation and culture,-0.1207,10,A130393838K
2025-06-01,2025-06-01,Education,Education,0.2518,11,A130390030R
2025-06-01,2025-06-01,Education,Education,0.2518,11,A130393579C
2025-06-01,2025-06-01,Insurance & financial services,Insurance and financial services,0.1735,12,A130392767V
2025-07-01,2025-07-01,Food & non-alcoholic beverages,Food and non-alcoholic beverages,0.5372,2,A130395483W
2025-07-01,2025-07-01,Alcohol & tobacco,Alcohol and tobacco,0.4294,3,A130393033A
