date,Goods,Services,services_minus_goods
2024-04-01,97.75,94.8,-2.950000000000003
2024-05-01,97.47,94.65,-2.819999999999993
2024-06-01,97.23,95.67,-1.5600000000000023
2024-07-01,97.65,95.73,-1.9200000000000017
2024-08-01,97.08,95.79,-1.289999999999992
2024-09-01,96.47,96.59,0.12000000000000455
2024-10-01,96.27,96.34,0.07000000000000739
2024-11-01,96.89,96.41,-0.480000000000004
2024-12-01,96.73,97.95,1.2199999999999989
2025-01-01,97.6,97.56,-0.03999999999999204
2025-02-01,98.01,97.29,-0.7199999999999989
2025-03-01,98.26,97.62,-0.6400000000000006
2025-04-01,98.66,98.71,0.04999999999999716
2025-05-01,98.49,97.87,-0.6199999999999903
2025-06-01,98.39,98.28,-0.10999999999999943
2025-07-01,99.97,99.24,-0.730000000000004
2025-08-01,99.99,99.07,-0.9200000000000017
2025-09-01,100.0,100.0,0.0
2025-10-01,99.89,100.1,0.20999999999999375
2025-11-01,100.1,99.91,-0.18999999999999773
2025-12-01,100.06,101.99,1.9299999999999926
2026-01-01,101.33,101.32,-0.010000000000005116
2026-02-01,101.48,101.13,-0.3500000000000085
2026-03-01,103.62,101.13,-2.490000000000009
