period,date,category,index,annual_change,monthly_change,series_id
2021-10-01,2021-10-01,Electricity,82.55,,,A130390731F
2021-11-01,2021-11-01,Electricity,83.42,,1.05,A130390731F
2021-12-01,2021-12-01,Electricity,83.64,,0.26,A130390731F
2022-01-01,2022-01-01,Electricity,83.55,,-0.11,A130390731F
2022-02-01,2022-02-01,Electricity,83.28,,-0.32,A130390731F
2022-03-01,2022-03-01,Electricity,83.22,,-0.07,A130390731F
2022-04-01,2022-04-01,Electricity,82.79,,-0.52,A130390731F
2022-05-01,2022-05-01,Electricity,82.98,,0.23,A130390731F
2022-06-01,2022-06-01,Electricity,85.1,,2.55,A130390731F
2022-07-01,2022-07-01,Electricity,86.03,,1.09,A130390731F
2022-08-01,2022-08-01,Electricity,87.2,,1.36,A130390731F
2022-09-01,2022-09-01,Electricity,83.4,,-4.36,A130390731F
2022-10-01,2022-10-01,Electricity,92.38,11.91,10.77,A130390731F
2022-11-01,2022-11-01,Electricity,92.22,10.55,-0.17,A130390731F
2022-12-01,2022-12-01,Electricity,95.86,14.61,3.95,A130390731F
2023-01-01,2023-01-01,Electricity,96.35,15.32,0.51,A130390731F
2023-02-01,2023-02-01,Electricity,96.35,15.69,0.0,A130390731F
2023-03-01,2023-03-01,Electricity,96.24,15.65,-0.11,A130390731F
2023-04-01,2023-04-01,Electricity,95.32,15.13,-0.96,A130390731F
2023-05-01,2023-05-01,Electricity,94.57,13.97,-0.79,A130390731F
2023-06-01,2023-06-01,Electricity,93.79,10.21,-0.82,A130390731F
2023-07-01,2023-07-01,Electricity,99.46,15.61,6.05,A130390731F
2023-08-01,2023-08-01,Electricity,98.19,12.6,-1.28,A130390731F
2023-09-01,2023-09-01,Electricity,98.4,17.99,0.21,A130390731F
2023-10-01,2023-10-01,Electricity,101.7,10.09,3.35,A130390731F
2023-11-01,2023-11-01,Electricity,102.09,10.7,0.38,A130390731F
2023-12-01,2023-12-01,Electricity,96.22,0.38,-5.75,A130390731F
2024-01-01,2024-01-01,Electricity,97.12,0.8,0.94,A130390731F
2024-02-01,2024-02-01,Electricity,96.58,0.24,-0.56,A130390731F
2024-03-01,2024-03-01,Electricity,101.29,5.25,4.88,A130390731F
2024-04-01,2024-04-01,Electricity,99.35,4.23,-1.92,A130390731F
2024-05-01,2024-05-01,Electricity,100.77,6.56,1.43,A130390731F
2024-06-01,2024-06-01,Electricity,100.77,7.44,0.0,A130390731F
2024-07-01,2024-07-01,Electricity,94.37,-5.12,-6.35,A130390731F
2024-08-01,2024-08-01,Electricity,80.59,-17.92,-14.6,A130390731F
2024-09-01,2024-09-01,Electricity,74.68,-24.11,-7.33,A130390731F
2024-10-01,2024-10-01,Electricity,65.53,-35.57,-12.25,A130390731F
2024-11-01,2024-11-01,Electricity,80.11,-21.53,22.25,A130390731F
2024-12-01,2024-12-01,Electricity,78.96,-17.94,-1.44,A130390731F
2025-01-01,2025-01-01,Electricity,86.0,-11.45,8.92,A130390731F
2025-02-01,2025-02-01,Electricity,83.84,-13.19,-2.51,A130390731F
2025-03-01,2025-03-01,Electricity,91.55,-9.62,9.2,A130390731F
2025-04-01,2025-04-01,Electricity,92.89,-6.5,1.46,A130390731F
2025-05-01,2025-05-01,Electricity,94.78,-5.94,2.03,A130390731F
2025-06-01,2025-06-01,Electricity,94.41,-6.31,-0.39,A130390731F
2025-07-01,2025-07-01,Electricity,107.16,13.55,13.5,A130390731F
2025-08-01,2025-08-01,Electricity,100.45,24.64,-6.26,A130390731F
2025-09-01,2025-09-01,Electricity,100.0,33.9,-0.45,A130390731F
2025-10-01,2025-10-01,Electricity,89.82,37.07,-10.18,A130390731F
2025-11-01,2025-11-01,Electricity,95.9,19.71,6.77,A130390731F
2025-12-01,2025-12-01,Electricity,95.92,21.48,0.02,A130390731F
2026-01-01,2026-01-01,Electricity,113.68,32.19,18.52,A130390731F
2026-02-01,2026-02-01,Electricity,114.83,36.96,1.01,A130390731F
2026-03-01,2026-03-01,Electricity,114.83,25.43,0.0,A130390731F
