period,date,category,index,annual_change,monthly_change,series_id
2017-09-01,2017-09-01,Automotive fuel,68.95,,,A130398320J
2017-10-01,2017-10-01,Automotive fuel,71.63,,3.89,A130398320J
2017-11-01,2017-11-01,Automotive fuel,75.02,,4.73,A130398320J
2017-12-01,2017-12-01,Automotive fuel,76.61,,2.12,A130398320J
2018-01-01,2018-01-01,Automotive fuel,75.66,,-1.24,A130398320J
2018-02-01,2018-02-01,Automotive fuel,75.26,,-0.53,A130398320J
2018-03-01,2018-03-01,Automotive fuel,74.42,,-1.12,A130398320J
2018-04-01,2018-04-01,Automotive fuel,78.04,,4.86,A130398320J
2018-05-01,2018-05-01,Automotive fuel,81.13,,3.96,A130398320J
2018-06-01,2018-06-01,Automotive fuel,81.72,,0.73,A130398320J
2018-07-01,2018-07-01,Automotive fuel,80.11,,-1.97,A130398320J
2018-08-01,2018-08-01,Automotive fuel,80.09,,-0.02,A130398320J
2018-09-01,2018-09-01,Automotive fuel,84.23,22.16,5.17,A130398320J
2018-10-01,2018-10-01,Automotive fuel,86.96,21.4,3.24,A130398320J
2018-11-01,2018-11-01,Automotive fuel,77.58,3.41,-10.79,A130398320J
2018-12-01,2018-12-01,Automotive fuel,73.74,-3.75,-4.95,A130398320J
2019-01-01,2019-01-01,Automotive fuel,69.28,-8.43,-6.05,A130398320J
2019-02-01,2019-02-01,Automotive fuel,72.24,-4.01,4.27,A130398320J
2019-03-01,2019-03-01,Automotive fuel,75.99,2.11,5.19,A130398320J
2019-04-01,2019-04-01,Automotive fuel,80.29,2.88,5.66,A130398320J
2019-05-01,2019-05-01,Automotive fuel,81.65,0.64,1.69,A130398320J
2019-06-01,2019-06-01,Automotive fuel,77.78,-4.82,-4.74,A130398320J
2019-07-01,2019-07-01,Automotive fuel,78.03,-2.6,0.32,A130398320J
2019-08-01,2019-08-01,Automotive fuel,77.33,-3.45,-0.9,A130398320J
2019-09-01,2019-09-01,Automotive fuel,79.47,-5.65,2.77,A130398320J
2019-10-01,2019-10-01,Automotive fuel,82.59,-5.03,3.93,A130398320J
2019-11-01,2019-11-01,Automotive fuel,80.93,4.32,-2.01,A130398320J
2019-12-01,2019-12-01,Automotive fuel,81.72,10.82,0.98,A130398320J
2020-01-01,2020-01-01,Automotive fuel,81.14,17.12,-0.71,A130398320J
2020-02-01,2020-02-01,Automotive fuel,78.38,8.5,-3.4,A130398320J
2020-03-01,2020-03-01,Automotive fuel,71.06,-6.49,-9.34,A130398320J
2020-04-01,2020-04-01,Automotive fuel,59.74,-25.59,-15.93,A130398320J
2020-05-01,2020-05-01,Automotive fuel,60.3,-26.15,0.94,A130398320J
2020-06-01,2020-06-01,Automotive fuel,65.81,-15.39,9.14,A130398320J
2020-07-01,2020-07-01,Automotive fuel,68.13,-12.69,3.53,A130398320J
2020-08-01,2020-08-01,Automotive fuel,67.42,-12.82,-1.04,A130398320J
2020-09-01,2020-09-01,Automotive fuel,67.84,-14.63,0.62,A130398320J
2020-10-01,2020-10-01,Automotive fuel,67.58,-18.17,-0.38,A130398320J
2020-11-01,2020-11-01,Automotive fuel,66.89,-17.35,-1.02,A130398320J
2020-12-01,2020-12-01,Automotive fuel,69.96,-14.39,4.59,A130398320J
2021-01-01,2021-01-01,Automotive fuel,71.14,-12.32,1.69,A130398320J
2021-02-01,2021-02-01,Automotive fuel,73.02,-6.84,2.64,A130398320J
