period,date,category,index,annual_change,monthly_change,series_id
2022-07-01,2022-07-01,Rents,83.19,,,A130390094A
2022-08-01,2022-08-01,Rents,83.63,,0.53,A130390094A
2022-09-01,2022-09-01,Rents,84.04,,0.49,A130390094A
2022-10-01,2022-10-01,Rents,84.46,,0.5,A130390094A
2022-11-01,2022-11-01,Rents,84.65,,0.22,A130390094A
2022-12-01,2022-12-01,Rents,85.07,,0.5,A130390094A
2023-01-01,2023-01-01,Rents,85.61,,0.63,A130390094A
2023-02-01,2023-02-01,Rents,86.24,,0.74,A130390094A
2023-03-01,2023-03-01,Rents,86.61,,0.43,A130390094A
2023-04-01,2023-04-01,Rents,87.28,,0.77,A130390094A
2023-05-01,2023-05-01,Rents,88.03,,0.86,A130390094A
2023-06-01,2023-06-01,Rents,88.82,,0.9,A130390094A
2023-07-01,2023-07-01,Rents,89.52,7.61,0.79,A130390094A
2023-08-01,2023-08-01,Rents,90.16,7.81,0.71,A130390094A
2023-09-01,2023-09-01,Rents,90.35,7.51,0.21,A130390094A
2023-10-01,2023-10-01,Rents,90.06,6.63,-0.32,A130390094A
2023-11-01,2023-11-01,Rents,90.68,7.12,0.69,A130390094A
2023-12-01,2023-12-01,Rents,91.37,7.41,0.76,A130390094A
2024-01-01,2024-01-01,Rents,92.01,7.48,0.7,A130390094A
2024-02-01,2024-02-01,Rents,92.72,7.51,0.77,A130390094A
2024-03-01,2024-03-01,Rents,93.3,7.72,0.63,A130390094A
2024-04-01,2024-04-01,Rents,93.81,7.48,0.55,A130390094A
2024-05-01,2024-05-01,Rents,94.53,7.38,0.77,A130390094A
2024-06-01,2024-06-01,Rents,95.11,7.08,0.61,A130390094A
2024-07-01,2024-07-01,Rents,95.7,6.9,0.62,A130390094A
2024-08-01,2024-08-01,Rents,96.23,6.73,0.55,A130390094A
2024-09-01,2024-09-01,Rents,96.35,6.64,0.12,A130390094A
2024-10-01,2024-10-01,Rents,96.14,6.75,-0.22,A130390094A
2024-11-01,2024-11-01,Rents,96.68,6.62,0.56,A130390094A
2024-12-01,2024-12-01,Rents,97.01,6.17,0.34,A130390094A
2025-01-01,2025-01-01,Rents,97.37,5.83,0.37,A130390094A
2025-02-01,2025-02-01,Rents,97.83,5.51,0.47,A130390094A
2025-03-01,2025-03-01,Rents,98.14,5.19,0.32,A130390094A
2025-04-01,2025-04-01,Rents,98.45,4.95,0.32,A130390094A
2025-05-01,2025-05-01,Rents,98.82,4.54,0.38,A130390094A
2025-06-01,2025-06-01,Rents,99.11,4.21,0.29,A130390094A
2025-07-01,2025-07-01,Rents,99.44,3.91,0.33,A130390094A
2025-08-01,2025-08-01,Rents,99.77,3.68,0.33,A130390094A
2025-09-01,2025-09-01,Rents,100.0,3.79,0.23,A130390094A
2025-10-01,2025-10-01,Rents,100.18,4.2,0.18,A130390094A
2025-11-01,2025-11-01,Rents,100.58,4.03,0.4,A130390094A
2025-12-01,2025-12-01,Rents,100.83,3.94,0.25,A130390094A
2026-01-01,2026-01-01,Rents,101.15,3.88,0.32,A130390094A
2026-02-01,2026-02-01,Rents,101.52,3.77,0.37,A130390094A
2026-03-01,2026-03-01,Rents,101.73,3.66,0.21,A130390094A
