period,date,series,annual_change
2024-06-01,2024-06-01,Wage Price Index,4.06336088154271
2024-09-01,2024-09-01,Wage Price Index,3.5158891142663906
2024-12-01,2024-12-01,Wage Price Index,3.215003348961809
2025-03-01,2025-03-01,Wage Price Index,3.3954727030625964
2025-06-01,2025-06-01,Wage Price Index,3.375248180013224
2025-09-01,2025-09-01,Wage Price Index,3.396472893533642
2025-12-01,2025-12-01,Wage Price Index,3.439325113562619
2026-03-01,2026-03-01,Wage Price Index,3.2195750160978642
2024-06-01,2024-06-01,Consumer Price Index,
2024-09-01,2024-09-01,Consumer Price Index,
2024-12-01,2024-12-01,Consumer Price Index,
2025-03-01,2025-03-01,Consumer Price Index,
2025-06-01,2025-06-01,Consumer Price Index,1.8856195607128035
2025-09-01,2025-09-01,Consumer Price Index,3.584006629376413
2025-12-01,2025-12-01,Consumer Price Index,3.7611756242935
2026-03-01,2026-03-01,Consumer Price Index,4.573295222539819
